coach_id,coach_url,short_name,long_name,dob,nationality_id,nationality_name,face_url
2079,/coach/2079/gareth-taylor/,G. Taylor,Gareth Taylor,1973-02-25,50,Wales,
94303,/coach/94303/fabrice-abriel/,F. Abriel,Fabrice Abriel,1979-07-06,18,France,https://cdn.sportmonks.com/images/soccer/players/31/94303.png
94451,/coach/94451/frederic-biancalani/,F. Biancalani,Frédéric Biancalani,1974-07-21,18,France,
455803,/coach/455803/andries-jonker/,A. Jonker,Andries Jonker,1962-09-22,34,Netherlands,
464820,/coach/464820/corinne-diacre/,C. Diacre,Corinne Diacre,1974-08-04,18,France,https://cdn.sportmonks.com/images/soccer/players/20/464820.png
466607,/coach/466607/xiuquan-jia/,X. Jia,Xiuquan Jia,1963-03-23,155,China PR,https://cdn.sportmonks.com/images/soccer/players/15/466607.png
529478,/coach/529478/yannick-chandioux/,Y. Chandioux,Yannick Chandioux,1975-09-01,18,France,
15434001,/coach/15434001/jonas-eidevall/,J. Eidevall,Jonas Eidevall,1983-01-28,46,Sweden,
19282261,/coach/19282261/patrice-lair/,P. Lair,Patrice Lair,1961-06-16,18,France,
26313202,/coach/26313202/sandrine-soubeyrand/,S. Soubeyrand,Sandrine Soubeyrand,1973-08-16,18,France,https://cdn.sportmonks.com/images/soccer/players/18/26313202.png
32431129,/coach/32431129/emma-hayes/,E. Hayes,Emma Hayes,1976-10-18,14,England,
32431137,/coach/32431137/kelly-chambers/,K. Chambers,Kelly Chambers,,14,England,
32431158,/coach/32431158/matt-beard/,M. Beard,Matt Beard,1978-01-09,14,England,
32431159,/coach/32431159/carla-ward/,C. Ward,Carla Ward,,14,England,
35279752,/coach/35279752/peter-gerhardsson/,P. Gerhardsson,Peter Gerhardsson,1959-08-22,46,Sweden,https://cdn.sportmonks.com/images/soccer/players/8/35279752.png
35279753,/coach/35279753/desiree-ellis/,D. Ellis,Desiree Ellis,1963-03-14,140,South Africa,
35279755,/coach/35279755/milena-bertolini/,M. Bertolini,Milena Bertolini,1966-06-24,27,Italy,
35279765,/coach/35279765/jorge-vilda/,J. Vilda,Jorge Vilda,1981-07-07,45,Spain,https://cdn.sportmonks.com/images/soccer/players/21/35279765.png
35279766,/coach/35279766/francisco-neto/,F. Neto,Francisco Neto,1981-07-11,38,Portugal,
35279780,/coach/35279780/jose-antonio-letelier-henriquez/,J. Letelier Henríquez,José Antonio Letelier Henríquez,1966-05-23,55,Chile,
35280557,/coach/35280557/martina-voss-tecklenburg/,M. Voss-Tecklenburg,Martina Voss-Tecklenburg,1967-12-22,21,Germany,https://cdn.sportmonks.com/images/soccer/players/13/35280557.png
35280567,/coach/35280567/sarina-glotzbach-wiegman/,S. Glotzbach-Wiegman,Sarina Glotzbach-Wiegman,1969-10-26,34,Netherlands,https://cdn.sportmonks.com/images/soccer/players/23/35280567.png
35304616,/coach/35304616/sonia-bompastor/,S. Bompastor,Sonia Bompastor,1980-06-08,18,France,
35681724,/coach/35681724/alain-djeumfa/,A. Djeumfa,Alain Djeumfa,,103,Cameroon,
