
37265116,/coach/37265116/brian-sorensen/,B. Sorensen,Brian Sorensen,1980-06-15,13,Denmark,
37265250,/coach/37265250/thorsteinn-halldorsson/,T. Halldórsson,Thorsteinn Halldórsson,,24,Iceland,
37296295,/coach/37296295/pedro-martinez-losa/,P. Martínez Losa,Pedro Martínez Losa,,45,Spain,
37296301,/coach/37296301/amandine-miquel/,A. Miquel,Amandine Miquel,1984-08-04,18,France,
37303727,/coach/37303727/tony-gustavsson/,T. Gustavsson,Tony Gustavsson,1973-08-14,46,Sweden,
37342910,/coach/37342910/lydia-bedford/,L. Bedford,Lydia Bedford,,14,England,
37347540,/coach/37347540/futoshi-ikeda/,F. Ikeda,Futoshi Ikeda,1970-10-04,163,Japan,
37350128,/coach/37350128/ives-serneels/,I. Serneels,Ives Serneels,1972-10-16,7,Belgium,
37350129,/coach/37350129/vlatko-andonovski/,V. Andonovski,Vlatko Andonovski,1976-09-14,95,United States,
37357800,/coach/37357800/hege-riise/,H. Riise,Hege Riise,1969-07-18,36,Norway,
37375752,/coach/37375752/colin-bell/,C. Bell,Colin Bell,1961-08-05,14,England,
37416863,/coach/37416863/naruephon-kaenson/,N.Kaenson,Naruephon Kaenson,,188,Thailand,
37428117,/coach/37428117/beverly-priestman/,B. Priestman,Beverly Priestman,,70,Canada,
37430277,/coach/37430277/pedro-lopez/,Pedro López,Pedro López,1979-05-06,45,Spain,
37469773,/coach/37469773/pia-mariane-sundhage/,P. Sundhage,Pia Mariane Sundhage,1960-02-13,46,Sweden,
37524025,/coach/37524025/marc-skinner/,M. Skinner,Marc Skinner,,14,England,
37524186,/coach/37524186/rehanne-skinner/,R. Skinner,Rehanne Skinner,1979-11-13,14,England,
37524489,/coach/37524489/jitka-klimkova/,J. Klimkova,Jitka Klimkova,1974-08-20,12,Czech Republic,
37554044,/coach/37554044/olli-harder/,O. Harder,Olli Harder,,198,New Zealand,
37573961,/coach/37573961/randy-waldrum/,R. Waldrum,Randy Waldrum,,95,United States,
37573962,/coach/37573962/hubert-busby/,H. Busby,Hubert Busby,1969-06-18,70,Canada,
37578659,/coach/37578659/christophe-forest/,C. Forest,Christophe Forest,1969-03-18,18,France,
37612238,/coach/37612238/german-dario-portanova/,G. Portanova,Germán Darío Portanova,1973-10-19,52,Argentina,
37614418,/coach/37614418/qingxia-shui/,Q. Shui,Qingxia Shui,1966-12-18,155,China PR,
37615657,/coach/37615657/frederic-goncalves/,F. Gonçalves,Frédéric Gonçalves,1982-03-06,18,France,
37617776,/coach/37617776/mathieu-rufie/,M. Rufié,Mathieu Rufié,1983-06-17,18,France,
37654887,/coach/37654887/gerard-precheur/,G. Prêcheur,Gérard Prêcheur,1959-10-23,18,France,
37667852,/coach/37667852/michel-bradaia/,M. Bradaia,Michel Bradaia,1971-12-03,18,France,
